tu_id	speaker	start	end	parent_tu_id	text
42	PSB150_trad	101.950	103.410	41	ho una faccia tonda
45	PSB149_trad	106.533	108.870	44	come un kolobok
61	PSB150_trad	134.200	136.270	60	allora puoi non mangiarlo xx
67	PSB150_trad	147.050	148.430	66	prendi il tonno
130	PSB150_trad	338.590	341.360	129	bere un teuccio xx tu vai direttamente lì
284	PSB150_trad	714.100	721.890	283	dove io andavo a scuola da noi menavano ti facevano saltare i denti e nasi altro che prenderti in giro a parole
370	PSB150_trad	922.610	925.470	369	appena apri bocca già fai paura a tutti
407	PSB150_trad	1016.000	1020.790	406	possiamo andare tu non bevi l'acqua? portami la bottiglia che si trova in camera tua
411	PSB150_trad	1035.600	1036.740	410	metti un po' di crema
420	PSB150_trad	1074.730	1075.860	419	dai mettiamo un po' di crema
428	PSB150_trad	1094.860	1096.100	427	metti per un mese
