tu_id	speaker	start	end	parent_tu_id	text
27	PSB066_trad	42.913	44.246	26	si chiama l'associazione
31	PSB066_trad	48.060	50.620	30	associazione
238	PSB065_trad	298.030	300.530	237	loro studiano il corano ma in curdo
332	PSB066_trad	410.730	413.160	331	eh arabo l’arabo classico si chiama l’arabo classico
371	PSB065_trad	454.330	455.180	370	che dio li benedica
373	PSB065_trad	456.812	457.890	372	che dio li benedica
654	???_trad	806.559	807.166	653	
659	PSB065_trad	810.213	811.671	658	per caso i bambini fanno qualcosa?
661	PSB065_trad	812.273	813.479	660	oggi mi uccideranno
667	PSB066_trad	817.575	818.188	666	si vai
669	PSB065_trad	817.840	820.240	668	mannaggia sorella gli fa male il molare devo portarlo dal medico mi vergogno
672	PSB066_trad	821.216	822.602	671	l’importante è che non gliela dai
676	PSB066_trad	823.431	823.861	675	vai vai
678	PSB065_trad	824.026	825.926	677	sì, sorella ecco vai vai
680	PSB066_trad	824.733	825.046	679	vai
800	PSB065_trad	988.111	989.041	799	che ci possiamo fare?
918	PSB066_trad	1111.734	1113.344	917	ben-(ahmed) A::H mozabita?
921	PSB065_trad	1113.418	1114.510	920	sì mozabita
923	PSB066_trad	1113.867	1116.374	922	ah sei di ben ahmed sorella brava
925	PSB065_trad	1116.490	1116.863	924	mozabita
927	PSB066_trad	1116.711	1118.059	926	a::: anche il marito di mia sorella è mozabita occhei
942	PSB066_trad	1131.526	1132.224	941	
944	PSB065_trad	1131.808	1135.271	943	ma mhm eh ci sta mmh eravamo mmh
949	PSB066_trad	1138.186	1138.744	948	com’è in arabo?
952	PSB065_trad	1139.298	1140.111	951	per (dire) ad esempio
954	PSB065_trad	1140.111	1142.060	953	
960	PSB065_trad	1144.685	1146.109	959	come (dire) ben ahmed (è in provincia di) settat
963	PSB065_trad	1146.254	1146.952	962	(la cosa) importante
965	PSB066_trad	1146.843	1148.745	964	noi siamo tutti di Casablanca, dipendiamo da Casablanca
1025	PSB066_trad	1205.580	1210.496	1024	sto comprando (casa) vicino al mare adesso ho comprato (casa) vicino al mare
1034	PSB066_trad	1214.920	1216.736	1033	Sidi (Mohammed Ben) Rahal
1045	PSB065_trad	1222.831	1227.514	1044	eh io adesso vivo a casablanca perché mio marito è di casablanca ma eh dove
1049	PSB065_trad	1227.553	1227.843	1048	jawhara
1051	PSB066_trad	1227.960	1228.533	1050	jawhara
1053	PSB065_trad	1228.040	1229.133	1052	jawhara è nel (distretto di) sidi moumen
1055	PSB066_trad	1229.233	1230.507	1054	sidi moumen
1223	PSB066_trad	1448.350	1454.280	1222	
1279	PSB066_trad	1527.090	1529.600	1278	Chefchaouen A:H bellissimo Chefchaouen
1359	PSB066_trad	1662.580	1663.900	1358	perché il couscous xx
1366	PSB065_trad	1672.950	1674.120	1365	ehm prugne sì sì
1368	PSB066_trad	1673.110	1678.150	1367	prugne con le prugne e mandorle sì buonissimo
1375	PSB066_trad	1681.010	1682.510	1374	pastilla
1381	PSB066_trad	1687.930	1689.960	1380	
1385	PSB065_trad	1691.670	1699.660	1384	anche alla mattina prendo il msemen il baghrir come quello sì tè
1391	PSB065_trad	1704.900	1706.960	1390	per la cena fare la zuppa
1415	PSB066_trad	1732.290	1733.360	1414	pastilla
1417	PSB065_trad	1733.550	1734.930	1416	ah pastilla brava
1419	PSB066_trad	1733.580	1734.100	1418	pastilla
1444	PSB065_trad	1766.670	1767.620	1443	il tajine si prepara subito
1517	PSB065_trad	1879.330	1880.080	1516	
1601	PSB066_trad	1994.250	1998.280	1599	ma
1636	PSB066_trad	2060.020	2061.320	1635	un po'
1655	PSB065_trad	2086.670	2087.000	1654	che dio vi benedica
1696	PSB065_trad	2144.650	2145.974	1695	
1770	PSB065_trad	2246.253	2250.007	1769	
1781	PSB066_trad	2260.548	2261.181	1780	mattatoio
1804	PSB065_trad	2282.880	2284.457	1803	una::: la foresta come la chiamano?
1812	PSB065_trad	2292.426	2293.724	1811	in montagna sopra
1857	PSB066_trad	2376.706	2378.186	1856	abbiamo due feste
1860	PSB066_trad	2379.934	2381.294	1859	tieni, vieni, sì
1866	PSB065_trad	2389.565	2391.377	1865	quello io non lo festeggio io anch'io
1868	PSB066_trad	2390.459	2391.664	1867	anche io non lo festeggio
1959	PSB065_trad	2543.553	2553.947	1958	il richiamo alla preghiera
1967	PSB065_trad	2564.171	2567.083	1966	sì anche alla moschea senti il richiamo alla preghiera le preghiere
2000	PSB066_trad	2610.764	2613.022	1999	tua mamma
2005	PSB066_trad	2614.800	2616.473	2004	erano
2021	PSB065_trad	2632.607	2633.660	2019	
2022	PSB066_trad	2632.607	2633.660	2020	ti sei sposata e poi sei venuta (qui) no?
2024	PSB065_trad	2633.693	2634.267	2023	
2028	PSB065_trad	2635.346	2636.040	2027	
2033	PSB066_trad	2640.920	2641.920	2032	no? eri con tua mamma?
2090	PSB066_trad	2740.387	2742.723	2089	sai, lei dice delle cose (ma) non dirmi che cos'è
2093	PSB065_trad	2742.920	2744.097	2092	è come le figlie di mia sorella
2095	PSB066_trad	2744.280	2746.319	2094	non dirmi cos’è quello che dice lei fa inglese, spagnolo
2100	PSB066_trad	2750.053	2751.573	2099	studia l’ing(lese)
2107	PSB066_trad	2769.820	2773.333	2106	ha preso in… in… ha preso la [sua:] sì questa
2123	PSB065_trad	2788.080	2790.680	2121	sì è bellissima che Dio la benedica
2124	PSB066_trad	2788.080	2790.680	2122	le mie figlie le mie figlie lei ti assomiglia sì
2128	PSB065_trad	2790.747	2797.347	2125	io forse le ho incontrate qui? xx non vengono a molinella? ah a posto perciò non le ho mai viste
2129	PSB066_trad	2790.747	2797.347	2126	no, no non vengono a non ci sono a molinella no non escono (qui)
2132	PSB066_trad	2797.373	2799.946	2131	sono lavoratrici lavorano sì
