tu_id	speaker	start	end	parent_tu_id	text
430	PSB017_trad	1274.934	1276.376	429	??
594	PSB017_trad	1609.787	1616.777	593	vado in italia lavoro due anni in una fabbrica di #produzione di #prodotti tessili non so okay?
614	PSB017_trad	1663.264	1667.509	613	non vale questa lingua quindi devi fare #traduzione in lingua italiana
762	PSB017_trad	2011.665	2013.262	761	#_parlavano in un italiano un po' scrauso
764	PSB016_trad	2014.876	2015.448	763	#_l'italiano
767	PSB016_trad	2016.472	2016.839	766	#_con l'italiano?
769	PSB017_trad	2017.190	2019.596	768	non sa parlare in italiano
1054	PSB017_trad	2692.785	2695.797	1053	tutte le macchine di #tessili lo aggiustavo (dentro eh)
1089	PSB017_trad	2755.759	2761.480	1088	è la stessa cosa però quando sono venuto ho trovato ho trovato le le le #gli #ostacoli le osta~
1373	PSB017_trad	3249.138	3251.738	1372	#dille #di #fare #un intervento #con
1375	PSB017_trad	3251.833	3254.581	1374	#di #quel corso il percorso #per #cui #lei #studia
1378	PSB017_trad	3255.226	3256.567	1377	#_non la promuoveranno
1561	PSB017_trad	3575.177	3576.562	1560	#_coniugazione
1568	PSB017_trad	3581.358	3582.297	1567	#_la coniugazione
1595	PSB017_trad	3623.544	3628.469	1594	che non sono andato ma sto: guarda poi #se #dio #vuole se vuole dio vado a
1608	PSB017_trad	3642.706	3644.882	1607	sì l'#atlantico
1612	PSB017_trad	3645.485	3646.221	1611	nell' #atlantico
1619	PSB017_trad	3656.432	3660.849	1618	poi le #l'occidente cos'è? l'est no l'ues~ cioè #l'ovest
1682	PSB016_trad	3791.291	3792.769	1681	domani #a #che #ora #andremo?
1691	PSB016_trad	3798.227	3799.493	1690	#_faremo
1736	PSB017_trad	3886.832	3888.910	1735	#_cosa ha detto lei? quando iniziano a digiunare (per il ramadan)?
2022	PSB016_trad	4577.496	4578.169	2021	#_cento
2025	PSB016_trad	4580.796	4582.407	2024	#_si dice ma'a
