tu_id	speaker	start	end	parent_tu_id	text
94	PSB079_trad	177.390	178.013	93	volgari
142	PSB067_trad	242.349	244.191	141	ciao xxx
144	???_trad	245.233	247.291	143	tutto bene tutto bene
276	PSB080_trad	432.175	433.260	275	le amiche
280	PSB079_trad	433.351	435.818	279	ai tuoi figli piace quello come si chiama
664	PSB067_trad	1039.890	1041.008	663	asfi dove si trova in marocco
706	PSB080_trad	1087.584	1088.188	705	vicino al mare
713	PSB067_trad	1094.578	1102.097	712	oddio io l'ho detto xxx ho detto studi studi
777	PSB067_trad	1195.981	1196.338	776	in arabo
780	PSB079_trad	1197.260	1199.383	779	abbiamo la stessa parola
782	PSB067_trad	1199.396	1200.149	781	abbiamo lo stesso livello
784	PSB079_trad	1200.162	1201.351	783	stessa giustizia
795	PSB080_trad	1213.295	1216.516	794	però questo non c'era ovviamente xxx
797	PSB067_trad	1214.705	1218.508	796	abbiamo anche les émission come lo dicono in italiano
800	PSB079_trad	1219.951	1224.066	799	sì sì les émissions france marche come si dice
812	PSB079_trad	1236.771	1240.730	811	brava così così quando finiscono come si chiama vanno in francia
862	PSB079_trad	1336.016	1336.713	861	con l-ḥarsha
865	PSB080_trad	1337.328	1338.541	864	no è il msemmen
880	PSB080_trad	1360.336	1361.639	879	come si chiama l-ṭa3rija?
884	PSB079_trad	1365.311	1368.967	883	e festeggiamo con una cosa non lo so come si chiama xxx c'è su internet
887	PSB067_trad	1373.844	1377.910	886	non c'è il suo nome ṭa3rija si chiama tampone
890	PSB067_trad	1378.468	1379.968	889	quella xxxx come si chiama
910	PSB067_trad	1420.238	1422.328	909	mu3ad
932	PSB079_trad	1460.975	1465.402	931	dove si trova hijab paradise sta a bologna al centro di bologna sì
992	PSB080_trad	1575.992	1578.016	991	cous cous trid tajine
1144	PSB080_trad	1868.623	1872.377	1143	e basket bellissimo e tipo escono molto all'aperto
1188	PSB079_trad	1952.697	1954.180	1187	va tutti gli anni sì
1196	PSB067_trad	1964.902	1968.590	1195	non è che sei appena tornata dal marocco, non è che sei appena tornata dal marocco
1218	PSB080_trad	1993.320	1995.770	1217	voleva rimanere in marocco
1282	PSB079_trad	2125.475	2129.795	1281	dove festeggiate il 3id sghir per esempio
1306	PSB079_trad	2172.607	2174.697	1305	che cos'è ruḥ ḥami in italiano
1313	PSB079_trad	2180.054	2180.814	1312	il mio spirito
1316	PSB079_trad	2182.743	2183.796	1315	chissà com'è che si dice
1349	PSB079_trad	2238.230	2241.271	1348	zuppa con la cipolla con il
1351	PSB079_trad	2241.385	2242.016	1350	con il
1370	PSB079_trad	2262.180	2265.771	1369	ma dopo vediamo che prendiamo la ricompensa
1373	PSB079_trad	2265.934	2268.869	1372	non lo so cos'è l-ajer in italiano
1375	PSB080_trad	2269.172	2271.836	1374	di cos'è che hai voglia
1381	PSB079_trad	2276.312	2276.959	1380	la ricompensa
1441	PSB080_trad	2424.844	2426.861	1440	durante 3ayshora gli prendono i regali
1462	PSB080_trad	2458.164	2459.016	1461	prendiamo anche noi t3arej
1483	PSB079_trad	2509.507	2511.242	1482	è vero c'è il problema dello spendere i soldi
1605	PSB080_trad	2771.131	2772.344	1604	studia questo no?
1607	PSB079_trad	2772.492	2774.221	1606	no cerca su com'è che si chiama e fa
1612	PSB067_trad	2776.520	2777.440	1611	tieni conto che devi far sposare tua figlia
1719	PSB080_trad	2992.795	2994.336	1718	ah studiano tutto il giorno
1755	PSB080_trad	3053.672	3055.615	1754	ma ci sono tanti marocchini a scuola?
1787	PSB079_trad	3121.402	3122.164	1786	gemellazioni
1789	PSB067_trad	3122.197	3124.393	1788	no quelli che fanno
1791	PSB067_trad	3125.615	3128.902	1790	le estrazioni che fanno per venire ad insegnare in francia
1794	PSB079_trad	3129.844	3132.320	1793	quella come si chiama borsa di studio che dà il marocco
1796	PSB067_trad	3131.459	3136.951	1795	no c'è ad esempio un professore universitario a oujda
1798	PSB067_trad	3137.566	3142.336	1797	ha fatto l'estrazione a sorte ed e venuto in belgio, come si chiama in italiano eh in francese si chiama tiro a sorte
1802	PSB067_trad	3145.787	3147.287	1801	tiro a sorte
1877	PSB080_trad	3273.254	3274.852	1876	non gli diminuiscono il livello glielo alzano
1939	PSB080_trad	3374.451	3375.918	1938	la sesta elementare cos'è la sesta elementare
1948	PSB080_trad	3386.041	3388.525	1947	perché ho visto un insegnante picchiare una bambina e da lì
1952	PSB080_trad	3392.123	3393.279	1951	stava piangendo poverina
1956	PSB080_trad	3398.098	3399.393	1955	è morta la bambina poverina
1959	PSB080_trad	3399.525	3400.541	1958	è morta la bambina
1963	PSB079_trad	3404.689	3405.500	1962	quando la piacchiata?
1965	PSB080_trad	3405.623	3406.615	1964	la picchiata alla testa
1974	???_trad	3415.328	3416.246	1973	questo è un crimine
1976	PSB067_trad	3416.447	3417.967	1975	si vede oddio è troppo
1978	PSB080_trad	3418.453	3421.287	1977	da lì basta non mi è più piaciuta la scuola
1980	PSB079_trad	3421.374	3422.554	1979	ti era venuta una fobia
1982	PSB080_trad	3421.767	3422.267	1981	non volevo
1993	PSB067_trad	3437.189	3438.525	1992	no ora no
2014	PSB080_trad	3464.393	3467.123	2013	ah non non davanti a me continuava a tenerle la testa e a picchiarla
2089	PSB079_trad	3598.656	3600.082	2088	cos'è dormitorio universitario
2162	PSB067_trad	3731.397	3732.466	2161	hai indossato una takshita?
2165	PSB067_trad	3733.693	3734.673	2164	tre o quattro?
2167	PSB080_trad	3734.906	3735.960	2166	tre
2178	PSB080_trad	3747.098	3748.549	2177	il verde è del giorno del henné
2187	PSB080_trad	3765.955	3767.168	2186	che c'è la carrozza coi cavalli
2190	PSB080_trad	3767.220	3768.580	2189	a marrakech
2192	PSB079_trad	3768.541	3772.139	2191	la carrozza coi cavalli lo conosci quello? quella carrozza
2211	PSB079_trad	3794.910	3796.164	2210	in quel momento la metti nell'acqua
2215	PSB080_trad	3797.385	3799.854	2214	metti lo scotch e lo tieni tutto il giorno
2229	PSB080_trad	3813.656	3815.648	2228	però ci sono le ragazze che fanno l'henné qua
