tu_id	speaker	start	end	parent_tu_id	text
31	PSB0067_trad	84.700	87.150	30	come ti chiami?
33	PSB0067_trad	88.000	88.930	32	come ti chiami?
51	PSB0067_trad	119.350	121.047	50	perché perché ti è piaciuta molinella
165	PSB069_trad	289.625	292.222	164	un po' xx
167	PSB0067_trad	292.170	293.510	166	dimmi xx
169	PSB068_trad	292.950	293.507	168	
171	PSB069_trad	293.540	295.910	170	ero lontana mi ha chiesto se andavo a scuola
200	PSB0067_trad	346.790	350.298	199	
202	PSB0067_trad	350.350	351.570	201	parlale di quando andate al mare voi
211	PSB0067_trad	364.390	365.710	210	sei andata al mare?
216	PSB0067_trad	368.250	370.134	215	dove andate? con le persone o da soli?
227	PSB0067_trad	381.070	382.580	226	andate in qualche posto dove c'è il mare?
230	PSB069_trad	383.611	391.810	229	quel posto dove siamo noi rimane molto vicino mi ha detto che vuole andare
234	PSB0067_trad	386.611	391.810	233	dille esci da questa conversazione dille di andare è molto bello
239	PSB0067_trad	395.430	399.030	238	xxx
241	PSB068_trad	395.440	399.040	240	xxx
248	PSB0067_trad	404.630	405.650	247	tante volte
285	PSB069_trad	449.590	450.600	284	che le dico?
287	PSB0067_trad	450.650	451.589	286	dimmi ti traduco
289	PSB069_trad	452.080	453.240	288	litigano xx
299	PSB069_trad	465.020	465.792	298	allora
301	PSB069_trad	466.222	468.846	300	beh ognuno gioca con la propria macchina giocattolo
305	PSB005_trad	471.690	472.222	304	
327	PSB069_trad	499.610	500.972	326	più piccolo di lei
330	PSB069_trad	501.800	503.389	329	non pensavo fosse sulla ventina
347	PSB0067_trad	517.000	517.900	346	sei andata a bologna sì
357	PSB069_trad	530.400	531.390	356	tanti mercati
361	PSB068_trad	532.640	535.101	360	le ho detto del mercato
364	PSB069_trad	534.797	539.392	363	andiamo spesso al lago andiamo spesso ai giardini
396	PSB069_trad	564.930	565.800	395	cosa
402	PSB069_trad	567.480	568.640	401	non ce l'avevo in mente
405	PSB0067_trad	568.630	569.800	404	dì fa l'autista
407	PSB066_trad	570.290	572.030	406	che c'è?
409	PSB069_trad	570.810	572.880	408	non ce l'avevo in mente
411	PSB066_trad	572.920	576.012	410	dice bravo con wa iniziale come esclamazione di rinforzo
431	PSB0067_trad	603.850	605.919	430	
436	PSB069_trad	610.560	611.910	435	si è riempita troppo
458	PSB0067_trad	652.640	657.630	457	
461	PSB066_trad	659.198	659.977	460	non rispettano
465	PSB069_trad	661.370	663.150	464	(un giorno andranno all'inferno)
570	PSB069_trad	840.460	841.628	569	non siamo uguali
710	PSB069_trad	1068.300	1069.840	709	sì sì film in xx
713	PSB069_trad	1070.940	1073.331	712	nelle scuole è obbligatorio fare francese dal secondo anno
716	PSB069_trad	1073.490	1074.820	715	loro iniziano
737	PSB0067_trad	1099.150	1100.744	736	
