tu_id	speaker	start	end	parent_tu_id	text
72	PSB147_trad	119.361	120.579	71	
299	PSB147_trad	418.424	420.854	298	da cucire? (.) macchina da cucire?
302	PSB147_trad	421.414	422.319	301	da cucire
304	PSB153_trad	422.419	425.838	303	non lo so non lo so
306	PSB147_trad	423.584	424.136	305	
311	PSB147_trad	427.172	428.485	310	
555	PSB153_trad	747.226	748.145	554	perché ce ne sono due
601	PSB153_trad	801.948	802.460	600	l'affitto
864	PSB153_trad	1115.520	1116.273	863	sai cantare?
1020	PSB153_trad	1324.938	1326.125	1019	bastardo
1076	PSB147_trad	1406.025	1408.983	1075	
1078	PSB153_trad	1408.675	1409.745	1077	ma non mi dire
1157	PSB147_trad	1532.347	1534.073	1156	perché? sì: (.) [xx sì]
1159	PSB146_trad	1532.353	1533.332	1158	
1161	PSB153_trad	1533.393	1534.033	1160	[come?]
1164	PSB147_trad	1535.793	1536.680	1163	eh musulmana
1180	PSB147_trad	1553.154	1557.147	1179	
1219	PSB153_trad	1609.261	1609.915	1218	(in) quale mese?
1234	PSB153_trad	1625.854	1627.622	1233	((ride)) (in) quale mese?
1277	PSB147_trad	1672.015	1674.498	1276	fisica (.) scienze chimiche
1325	PSB147_trad	1730.129	1730.898	1324	quanto hai preso al diploma?
1327	PSB147_trad	1731.318	1732.033	1326	hai presto il diploma?
1517	PSB147_trad	1982.752	1983.588	1516	come si dice la verdura?
1520	PSB147_trad	1985.327	1985.822	1519	come si dice la verdura?
1522	PSB153_trad	1985.953	1987.553	1521	
1536	PSB147_trad	2003.174	2010.430	1534	°panc-° (.) dopo: (.) alle dieci fatto un: snack da: protei::- [anche] avena non lo so (come si dice) avena
