token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=0.682	_	_	_	_
0-1	PSB005	0	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-2	PSB005	0	2	grazie	grazie	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB005	0	3	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB005	0	4	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB005	0	5	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB005	0	6	hai:	hai	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
0-7	PSB005	0	7	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PSB005	0	8	ambiente	ambiente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PSB005	0	9	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PSB005	0	10	molto::	molto	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	4x2	_	_	_
0-11	PSB005	0	11	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-12	PSB005	0	12	utile.	utile	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=5.866	_	_	_	_
1-0	PSB008	1	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=6.007	_	_	_	_
1-1	PSB008	1	1	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	End=6.61	_	_	_	0-2(0)
2-0	PSB005	2	0	[perché	perché	_	_	_	_	_	linguistic	_	none	_	Begin=6.26	_	_	_	0-6(0)
2-1	PSB005	2	1	è]	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
2-2	PSB005	2	2	molto	molto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB005	2	3	silenzioso	silenzioso	_	_	_	_	_	linguistic	_	none	_	End=7.605	_	_	_	_
3-0	PSB008	3	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=7.783	_	_	_	_
3-1	PSB008	3	1	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB008	3	2	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB008	3	3	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PSB008	3	4	detto:	detto	_	_	_	_	_	linguistic	_	none	_	_	4x1	_	_	_
3-5	PSB008	3	5	alla	alla	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PSB008	3	6	mia	mia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	PSB008	3	7	capa	capa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-8	PSB008	3	8	dicendo	dicendo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-9	PSB008	3	9	che:	che	_	_	_	_	_	linguistic	_	none	_	End=12.23	2x1	_	_	_
4-0	PSB008	4	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=12.798	_	_	_	_
4-1	PSB008	4	1	domani	domani	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB008	4	2	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB008	4	3	ho:	ho	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	1x1	_	_	_
4-4	PSB008	4	4	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
4-5	PSB008	4	5	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	PSB008	4	6	int~	int~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
4-7	PSB008	4	7	un'	un'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
4-8	PSB008	4	8	intervista	intervista	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-9	PSB008	4	9	allora	allora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-10	PSB008	4	10	vi:~	vi~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	End=16.59	1x1	_	_	_
5-0	PSB005	5	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=16.826	_	_	_	_
5-1	PSB005	5	1	bene	bene	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
5-2	PSB005	5	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
5-3	PSB005	5	3	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PSB005	5	4	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PSB005	5	5	bene	bene	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	PSB005	5	6	grazie	grazie	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	PSB005	5	7	[perché]	perché	_	_	_	_	_	linguistic	_	none	_	End=19.403	_	_	_	0-6(1)
6-0	PSB008	6	0	[prego]	prego	_	_	_	_	_	linguistic	_	none	_	Begin=18.78	_	_	_	0-5(1)
6-1	PSB008	6	1	pre[go]	prego	_	_	_	_	_	linguistic	_	none	_	End=20.02	_	_	_	3-5(2)
7-0	PSB005	7	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	Begin=19.755	_	_	_	0-2(2)
7-1	PSB005	7	1	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PSB005	7	2	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PSB005	7	3	stiamo:	stiamo	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
7-4	PSB005	7	4	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PSB005	7	5	tranquille	tranquille	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PSB005	7	6	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PSB005	7	7	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PSB005	7	8	meno	meno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-9	PSB005	7	9	rumori:	rumori	_	_	_	_	_	linguistic	_	none	_	End=23.08	5x1	_	_	_
8-0	PSB008	8	0	s:ì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=23.1	0x1	_	_	_
8-1	PSB008	8	1	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PSB008	8	2	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	PSB008	8	3	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	PSB008	8	4	me	me	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-5	PSB008	8	5	così	così	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-6	PSB008	8	6	xx	xx	_	_	_	_	_	unknown	_	none	Syllables=2	_	_	_	_	_
8-7	PSB008	8	7	no?	no	_	_	_	_	_	linguistic	_	none	Intonation=Rising	_	_	_	_	_
8-8	PSB008	8	8	[che]?	che	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=25.7	_	_	_	0-3(3)
9-0	PSB005	9	0	[EH]	eh	_	_	_	_	_	linguistic	_	none	Volume=high	Begin=25.28|End=25.614	_	_	_	0-2(3)
10-0	PSB005	10	0	[no	no	_	_	_	_	_	linguistic	_	none	_	Begin=25.78	_	_	_	0-2(4)
10-1	PSB005	10	1	beh	beh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(4)
10-2	PSB005	10	2	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(4)
10-3	PSB005	10	3	cre]do	credo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(4)
10-4	PSB005	10	4	°sì	sì	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
10-5	PSB005	10	5	perché°	perché	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
10-6	PSB005	10	6	AH	ah	_	_	_	_	_	linguistic	_	none	Volume=high	_	_	_	_	_
10-7	PSB005	10	7	ECCO	ecco	_	_	_	_	_	linguistic	_	none	Volume=high	_	_	_	_	_
