token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB151	0	0	vediamo	vediamo	_	_	_	_	_	linguistic	_	none	_	Begin=0.596	_	_	_	_
0-1	PSB151	0	1	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB151	0	2	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB151	0	3	sente	sente	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
0-4	PSB151	0	4	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-5	PSB151	0	5	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB151	0	6	secondo	secondo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PSB151	0	7	me	me	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PSB151	0	8	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PSB151	0	9	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PSB151	0	10	sente	sente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-11	PSB151	0	11	bene	bene	_	_	_	_	_	linguistic	_	none	_	End=3.29	_	_	_	_
1-0	PSB152	1	0	dimmi	dimmi	_	_	_	_	_	linguistic	_	none	_	Begin=3.83	_	_	_	_
1-1	PSB152	1	1	@chiaretta	@chiaretta	_	_	_	_	_	anonymized	_	none	_	_	_	_	_	_
1-2	PSB152	1	2	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB152	1	3	vuoi	vuoi	_	_	_	_	_	linguistic	_	none	_	End=4.91	_	_	_	_
2-0	PSB151	2	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=4.92|End=6.61	_	_	_	_
3-0	PSB152	3	0	perché	perché	_	_	_	_	_	linguistic	_	none	_	Begin=6.505	_	_	_	_
3-1	PSB152	3	1	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB152	3	2	[hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
3-3	PSB152	3	3	chiama~]	chiama~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	0-7(1)
3-4	PSB152	3	4	e~	e~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
3-5	PSB152	3	5	chiamato	chiamato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PSB152	3	6	mattina	mattina	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	PSB152	3	7	presto	presto	_	_	_	_	_	linguistic	_	none	_	End=8.538	_	_	_	_
4-0	PSB151	4	0	[quanto]	quanto	_	_	_	_	_	linguistic	_	none	_	Begin=7.195|End=7.56	_	_	_	0-6(1)
5-0	PSB151	5	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=8.63	_	_	_	_
5-1	PSB151	5	1	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PSB151	5	2	romperti	romperti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PSB151	5	3	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PSB151	5	4	scatole	scatole	_	_	_	_	_	linguistic	_	none	_	End=10.843	_	_	_	_
6-0	PSB151	6	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=12.668	_	_	_	_
6-1	PSB151	6	1	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PSB151	6	2	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	PSB151	6	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	PSB151	6	4	ora	ora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PSB151	6	5	ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-6	PSB151	6	6	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-7	PSB151	6	7	svegliato?	svegliato	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=13.749	_	_	_	_
