code	occupation	gender	conversations	birth-region	age-range	study-level	mothertongue	age-of-arrival-italy	years-in-italy
PSB105	0-Students	F	SBCC004;SBCC008;SBCC009	cina	21-25	university-degree-ongoing	cinese mandarino	21-25	0-1
PSB106	0-Unemployed	M	SBCU005	ucraina	31-35	university-degree	ucraino	11-15	16-17
PSB107	3-Technicians	F	SBCU005	ucraina	51-55	university-degree	ucraino	16-20	30-31
PSB109	2-Professionals	F	SBCC005;SBCC006	cina	36-40	university-degree	cinese mandarino	21-25	18-19
PSB110	3-Technicians	M	SBCC005;SBCC006	emilia-romagna	36-40	university-degree	italiano	N/A	N/A
PSB113	2-Professionals	F	SBCC007	cina	36-40	university-degree	cinese mandarino	31-35	16-17
PSB114	4-Clerical-Workers	M	SBCC007	trentino-alto-adige	31-35	university-degree	italiano	N/A	N/A
PSB118	0-Students	M	SBCB003	stati uniti	21-25	university-degree-ongoing	italiano	N/A	N/A
PSB119	0-Students	F	SBCC008;SBCC009	cina	21-25	university-degree-ongoing	cinese mandarino	16-20	02-03
PSB120	0-Students	F	SBCC009	cina	21-25	university-degree-ongoing	cinese mandarino	21-25	0-1
PSB121	0-Students	F	SBCC010;SBCC011	cina	21-25	university-degree-ongoing	cinese mandarino	21-25	02-03
PSB122	6-Craft-Workers	M	SBCC010;SBCC011	emilia-romagna	61-65	middle-school	italiano	N/A	N/A
PSB125	8-Elementary	F	SBCA006	marocco	51-55	university-degree-ongoing	arabo	21-25	28-29
PSB126	0-Students	F	SBCA006	emilia-romagna	21-25	university-degree-ongoing	italiano; arabo	N/A	N/A
PSB127	8-Elementary	F	SBCU007;SBCU007bis;SBCU007tris	ucraina	56-60	university-degree	ucraino	46-50	06-07
PSB128	8-Elementary	F	SBCU007;SBCU007bis;SBCU007tris	ucraina	36-40	university-degree	ucraino	26-30	10-11
PSB129	2-Professionals	F	SBCU007;SBCU007bis;SBCU007tris	molise	31-35	phd	italiano	N/A	N/A
PSB130	2-Professionals	F	SBCU007;SBCU007bis;SBCU007tris	veneto	26-30	university-degree	italiano	N/A	N/A
PSB133	5-Service-Workers	M	SBCB004	bangladesh	21-25	technical-vocational-diploma	bengalese	0-5	18-19
PSB134	0-Students	M	SBCB004	lombardia	26-30	university-degree-ongoing	italiano	N/A	N/A
PSB135	0-Unemployed	M	SBCB004	emilia-romagna	21-25	foreign-diploma	italiano	N/A	N/A
PSB136	2-Professionals	F	SBCC012	basilicata	21-25	university-degree-ongoing	cinese mandarino; italiano	N/A	N/A
PSB137	2-Professionals	F	SBCC012	campania	21-25	university-degree-ongoing	cinese mandarino; italiano	N/A	N/A
PSB140	4-Clerical-Workers	F	SBCA008	emilia-romagna	61-65	foreign-diploma	italiano	N/A	N/A
PSB141	0-Unemployed	F	SBCA008;SBIA018	marocco	31-35	foreign-diploma	arabo	21-25	10-11
PSB142	0-Students	F	SBCA009	emilia-romagna	21-25	university-degree-ongoing	italiano	N/A	N/A
PSB143	0-Students	F	SBCA009	emilia-romagna	21-25	university-degree-ongoing	italiano; arabo	N/A	N/A
PSB144	5-Service-Workers	F	SBIA015	marocco	46-50	primary-school	arabo	36-40	06-07
PSB145	0-Unemployed	F	SBIA015	marocco	41-45	foreign-diploma	arabo	36-40	04-05
PSB146	0-Students	F	SBIA015;SBIA017	emilia-romagna	21-25	university-degree-ongoing	italiano	N/A	N/A
PSB147	0-Students	M	SBIA017	marocco	21-25	university-degree-ongoing	arabo; berbero	21-25	0-1
PSB149	3-Technicians	M	SBCU010	ucraina	31-35	university-degree	russo	11-15	23-24
PSB150	0-Unemployed	F	SBCU010	ucraina	46-50	foreign-diploma	russo	N/A	N/A
PSB151	0-Students	F	SBCB008	abruzzo	31-35	university-degree-ongoing	italiano	N/A	N/A
PSB152	8-Elementary	M	SBCB008	bangladesh	26-30	middle-school	bengalese	16-20	06-07
PSB153	0-Unemployed	F	SBIA017	marocco	16-20	middle-school	arabo	16-20	04-05
PSB156	0-Students	F	SBIA018	emilia-romagna	21-25	university-degree-ongoing	italiano	N/A	N/A
PSB157	0-Students	F	SBIA019	emilia-romagna	21-25	university-degree-ongoing	italiano	N/A	N/A
PSB158	5-Service-Workers	M	SBIA019	piemonte	21-25	liceo-diploma	italiano; albanese	N/A	N/A
PSB159	0-Unemployed	F	SBIA019	marocco	46-50	foreign-diploma	arabo	21-25	20-21
PSB160	0-Retired	M	SBIA019	marocco	71-75	none	arabo	36-40	34-35
PSB161	3-Technicians	F	SBCA010	emilia-romagna	21-25	university-degree	italiano; arabo	N/A	N/A
PSB162	6-Craft-Workers	M	SBCA010	marocco	56-60	university-degree	arabo	21-25	36-37
PSB163	3-Technicians	M	SBCA010	emilia-romagna	26-30	foreign-diploma	italiano	N/A	N/A
PSB164	0-Students	F	SBCA011	emilia-romagna	21-25	university-degree-ongoing	italiano	N/A	N/A
PSB165	6-Craft-Workers	M	SBCA011	marocco	21-25	technical-vocational-diploma	arabo	0-5	18-19
